
"nodeName", "library", "inputType", "completeName", "summary"
"Color.Red","P:DSCore","","P:DSCore.Color.Red","Find the red component of a color, 0 to 255."
"Color.Green","P:DSCore","","P:DSCore.Color.Green","Find the green component of a color, 0 to 255."
"Color.Blue","P:DSCore","","P:DSCore.Color.Blue","Find the blue component of a color, 0 to 255."
"Color.Alpha","P:DSCore","","P:DSCore.Color.Alpha","Find the alpha component of a color, 0 to 255."
"Color.ByARGB","M:DSCore","System.Int32,System.Int32,System.Int32,System.Int32","M:DSCore.Color.ByARGB(System.Int32,System.Int32,System.Int32,System.Int32)","Construct a color by alpha, red, green, and blue components."
"Color.Brightness","M:DSCore","DSCore.Color","M:DSCore.Color.Brightness(DSCore.Color)","Returns the brightness value for this color."
"Color.Saturation","M:DSCore","DSCore.Color","M:DSCore.Color.Saturation(DSCore.Color)","Returns the saturation value for this color."
"Color.Hue","M:DSCore","DSCore.Color","M:DSCore.Color.Hue(DSCore.Color)","Returns the hue value for this color."
"Color.Components","M:DSCore","DSCore.Color","M:DSCore.Color.Components(DSCore.Color)","Lists the components for the color in the order: alpha, red, green, blue."
"Color.BuildColorFrom1DRange","M:DSCore","System.Collections.Generic.List{DSCore.Color},System.Collections.Generic.List{System.Double},System.Double","M:DSCore.Color.BuildColorFrom1DRange(System.Collections.Generic.List{DSCore.Color},System.Collections.Generic.List{System.Double},System.Double)","Returns a color from a color gradient between a start color and an end color."
"Color.Lerp","M:DSCore","DSCore.Color,DSCore.Color,System.Double","M:DSCore.Color.Lerp(DSCore.Color,DSCore.Color,System.Double)","Linearly interpolate between two colors."
"Color.Blerp","M:DSCore","System.Collections.Generic.IList{DSCore.Color.IndexedColor2D},Autodesk.DesignScript.Geometry.UV","M:DSCore.Color.Blerp(System.Collections.Generic.IList{DSCore.Color.IndexedColor2D},Autodesk.DesignScript.Geometry.UV)","Bilinearly interpolate between a set of colors."
"Color.Add","M:DSCore","DSCore.Color,DSCore.Color","M:DSCore.Color.Add(DSCore.Color,DSCore.Color)","Construct a Color by combining two input Colors."
"Color.Multiply","M:DSCore","DSCore.Color,System.Double","M:DSCore.Color.Multiply(DSCore.Color,System.Double)","Multiply an input color with a number multiplier to produce a darker color. Input color must have an alpha less than 255."
"Color.Divide","M:DSCore","DSCore.Color,System.Double","M:DSCore.Color.Divide(DSCore.Color,System.Double)","Divide an input color with a number divider to produce a brighter color and remove color tint"
"ColorRange1D.ByColorsAndParameters","M:DSCore","System.Collections.Generic.List{DSCore.Color},System.Collections.Generic.List{System.Double}","M:DSCore.ColorRange1D.ByColorsAndParameters(System.Collections.Generic.List{DSCore.Color},System.Collections.Generic.List{System.Double})","Create a ColorRange1D by supplying lists of colors and parameters."
"ColorRange1D.GetColorAtParameter","M:DSCore","DSCore.ColorRange1D,System.Double","M:DSCore.ColorRange1D.GetColorAtParameter(DSCore.ColorRange1D,System.Double)","Returns the color in this color range at the specified parameter."
"ColorRange1D.Default","M:DSCore","","M:DSCore.ColorRange1D.Default","Create a ColorRange1D with the default color scheme."
"ColorRange.ByColorsAndParameters","M:DSCore","System.Collections.Generic.IList{DSCore.Color},System.Collections.Generic.IList{Autodesk.DesignScript.Geometry.UV}","M:DSCore.ColorRange.ByColorsAndParameters(System.Collections.Generic.IList{DSCore.Color},System.Collections.Generic.IList{Autodesk.DesignScript.Geometry.UV})","Create a ColorRange by supplying lists of colors and UVs."
"ColorRange.GetColorAtParameter","M:DSCore","Autodesk.DesignScript.Geometry.UV","M:DSCore.ColorRange.GetColorAtParameter(Autodesk.DesignScript.Geometry.UV)","Returns the color in this color range at the specified parameter."
"Compare","T:DSCore","","T:DSCore.Compare","Comparison methods."
"Compare.GreaterThan","M:DSCore","System.Object,System.Object","M:DSCore.Compare.GreaterThan(System.Object,System.Object)","Returns true if a is greater than b."
"Compare.GreaterThanOrEqual","M:DSCore","System.Object,System.Object","M:DSCore.Compare.GreaterThanOrEqual(System.Object,System.Object)","Returns true if a is greater than or equal to b."
"Compare.LessThan","M:DSCore","System.Object,System.Object","M:DSCore.Compare.LessThan(System.Object,System.Object)","Returns true if a is less than b."
"Compare.LessThanOrEqual","M:DSCore","System.Object,System.Object","M:DSCore.Compare.LessThanOrEqual(System.Object,System.Object)","Returns true if a is less than or equal to b."
"DateTime","T:DSCore","","T:DSCore.DateTime","Object representing a specific Date and Time."
"DateTime.MinValue","P:DSCore","","P:DSCore.DateTime.MinValue","The earliest date and time that can be represented."
"DateTime.MaxValue","P:DSCore","","P:DSCore.DateTime.MaxValue","The latest date and time that can be represented."
"DateTime.Now","P:DSCore","","P:DSCore.DateTime.Now","The current system date and time."
"DateTime.Today","P:DSCore","","P:DSCore.DateTime.Today","The current system date, with time set at midnight."
"DateTime.Format","M:DSCore","System.DateTime,System.String","M:DSCore.DateTime.Format(System.DateTime,System.String)"," Return a specified date and time as a string, in the specified format. "
"DateTime.ByDate","M:DSCore","System.Int32,System.Int32,System.Int32","M:DSCore.DateTime.ByDate(System.Int32,System.Int32,System.Int32)","Creates a new DateTime at an exact date."
"DateTime.ByDateAndTime","M:DSCore","System.Int32,System.Int32,System.Int32,System.Int32,System.Int32,System.Int32,System.Int32","M:DSCore.DateTime.ByDateAndTime(System.Int32,System.Int32,System.Int32,System.Int32,System.Int32,System.Int32,System.Int32)","Creates a new DateTime at an exact date and time."
"DateTime.SubtractTimeSpan","M:DSCore","System.DateTime,System.TimeSpan","M:DSCore.DateTime.SubtractTimeSpan(System.DateTime,System.TimeSpan)","Subtracts a TimeSpan from a DateTime, yielding a new DateTime."
"DateTime.AddTimeSpan","M:DSCore","System.DateTime,System.TimeSpan","M:DSCore.DateTime.AddTimeSpan(System.DateTime,System.TimeSpan)","Adds a TimeSpan to a DateTime, yielding a new DateTime."
"DateTime.DaysInMonth","M:DSCore","System.Int32,System.Int32","M:DSCore.DateTime.DaysInMonth(System.Int32,System.Int32)","Calculates how many days are in the given month of the given year."
"DateTime.IsDaylightSavingsTime","M:DSCore","System.DateTime","M:DSCore.DateTime.IsDaylightSavingsTime(System.DateTime)","Determines if it is Daylight Savings Time at the given DateTime."
"DateTime.IsLeapYear","M:DSCore","System.Int32","M:DSCore.DateTime.IsLeapYear(System.Int32)","Determines if the given year is a leap year."
"DateTime.FromString","M:DSCore","System.String","M:DSCore.DateTime.FromString(System.String)","Attempts to parse a DateTime from a string."
"DateTime.Date","M:DSCore","System.DateTime","M:DSCore.DateTime.Date(System.DateTime)","Extracts only the date from a DateTime. Time components are set to 0."
"DateTime.Components","M:DSCore","System.DateTime","M:DSCore.DateTime.Components(System.DateTime)","Extracts the individual components of a DateTime."
"DateTime.DayOfWeek","M:DSCore","System.DateTime","M:DSCore.DateTime.DayOfWeek(System.DateTime)","Returns the Day of the Week from a given DateTime."
"DateTime.DayOfYear","M:DSCore","System.DateTime","M:DSCore.DateTime.DayOfYear(System.DateTime)","Returns the day of the year (0-366)"
"DateTime.TimeOfDay","M:DSCore","System.DateTime","M:DSCore.DateTime.TimeOfDay(System.DateTime)","Yields a new TimeSpan representing the amount of time passed since midnight of thegiven DateTime."
"DayOfWeek","T:DSCore","","T:DSCore.DayOfWeek","Days of the Week"
"TimeSpan","T:DSCore","","T:DSCore.TimeSpan","Object representing an elapsed period of time, with no specific start or end date."
"TimeSpan.ByDateDifference","M:DSCore","System.DateTime,System.DateTime","M:DSCore.TimeSpan.ByDateDifference(System.DateTime,System.DateTime)","Yields a new TimeSpan calculated from the time difference between two DateTimes."
"TimeSpan.Zero","P:DSCore","","P:DSCore.TimeSpan.Zero","A TimeSpan representing an elapsed time of Zero."
"TimeSpan.MaxValue","P:DSCore","","P:DSCore.TimeSpan.MaxValue","The largest TimeSpan that can be represented."
"TimeSpan.MinValue","P:DSCore","","P:DSCore.TimeSpan.MinValue","The smallest TimeSpan that can be represented."
"TimeSpan.Create","M:DSCore","System.Double,System.Double,System.Double,System.Double,System.Double","M:DSCore.TimeSpan.Create(System.Double,System.Double,System.Double,System.Double,System.Double)","Creates a new TimeSpan from a span of time."
"TimeSpan.Scale","M:DSCore","System.TimeSpan,System.Double","M:DSCore.TimeSpan.Scale(System.TimeSpan,System.Double)","Multiplies a TimeSpan by a scaling factor."
"TimeSpan.Negate","M:DSCore","System.TimeSpan","M:DSCore.TimeSpan.Negate(System.TimeSpan)","Negates a TimeSpan."
"TimeSpan.Add","M:DSCore","System.TimeSpan,System.TimeSpan","M:DSCore.TimeSpan.Add(System.TimeSpan,System.TimeSpan)","Adds two TimeSpans."
"TimeSpan.Subtract","M:DSCore","System.TimeSpan,System.TimeSpan","M:DSCore.TimeSpan.Subtract(System.TimeSpan,System.TimeSpan)","Subtracts two TimeSpans."
"TimeSpan.FromString","M:DSCore","System.String","M:DSCore.TimeSpan.FromString(System.String)","Attempts to parse a TimeSpan from a string."
"TimeSpan.Components","M:DSCore","System.TimeSpan","M:DSCore.TimeSpan.Components(System.TimeSpan)","Extracts the individual components of a TimeSpan."
